GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC000449,99778,48553,98562,19595,2995,23739,10232,8244,5130,1925,71844,11934,7904,5433,4485,12158,0,0,0,0,0,0,0,0,0,0
TC000451,384,260,349,79,4,70,3,3,2,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC000453,10376,8355,11182,3392,1340,8212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000456,3654,2428,3408,620,92,1129,418,686,370,49,5240,765,504,581,238,667,56,76,55,107,33,36,45,15,50,88
TC000457,1139,659,1155,266,44,276,182,135,53,21,1966,272,424,274,131,331,1637,7333,3206,2246,2845,1541,1086,401,2591,2076
TC000458,0,0,0,0,0,0,177,219,97,11,480,334,232,221,195,306,2,2,2,4,0,4,14,0,14,4
TC000459,0,0,0,0,0,0,10,6,10,0,51,0,0,0,0,7,173,382,308,206,274,115,527,266,513,1195
TC000460,43,4,20,0,0,18,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000461,4925,5460,3233,1148,34,484,26,22,28,4,113,156,16,4,0,247,987,5405,2565,958,142,1122,14,1,5,19
TC000462,11823,10453,12708,4405,1832,11562,7801,4984,10516,139,69635,2107,1587,1251,600,1414,4,0,6,24,1,3,24,2,33,10
TC000463,5596,3644,5545,1623,229,1625,469,445,176,24,3511,913,674,543,229,870,0,0,0,0,0,0,0,0,0,0
TC000466,3884,1842,4077,764,188,1117,11,21,16,0,279,5,14,0,0,44,28,25,15,32,17,20,19,5,20,20
TC000467,3878,1654,3484,744,111,1152,499,661,478,77,4875,1376,786,838,524,1437,7,62,10,13,6,8,8,0,15,14
TC000468,6876,2491,7667,1017,126,1027,88,144,62,15,562,365,96,180,0,513,5,0,0,1,0,5,0,0,0,0
TC000469,2794,2167,2894,823,159,950,85,125,54,13,1874,244,190,178,53,216,893,63,1523,2452,5622,545,310,67,1567,158
TC000470,340,312,293,60,353,3613,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1
